epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.779,1.75283,2.93658,1.51163,0.00329,0.98571,0.41089,0.20283,1.52197,3.82078,1.48066,0.000651852,0.000651852,0.000651852
2,538.827,1.5474,2.07293,1.38661,0.71583,0.68375,0.77445,0.42149,1.51488,2.53177,1.5952,0.00129241,0.00129241,0.00129241
3,808.013,1.51886,1.76842,1.36729,0.81031,0.9,0.91574,0.48702,1.52199,2.07672,1.5618,0.00190657,0.00190657,0.00190657
4,1068.69,1.47437,1.54362,1.36908,0.88464,0.88571,0.93444,0.54034,1.36636,2.25956,1.45073,0.0018812,0.0018812,0.0018812
5,1334.23,1.46369,1.37285,1.33644,0.88456,0.92857,0.93395,0.55729,1.34757,1.16805,1.41711,0.0018416,0.0018416,0.0018416
6,1602.6,1.42611,1.30648,1.31279,0.85678,0.65714,0.80475,0.46653,1.57537,1.3659,1.62399,0.001802,0.001802,0.001802
7,1876.59,1.40883,1.2892,1.33055,0.9307,0.95927,0.96816,0.59846,1.32773,1.01253,1.37311,0.0017624,0.0017624,0.0017624
8,2144.42,1.38853,1.20152,1.2982,0.95752,0.96608,0.95747,0.56662,1.3718,0.96306,1.35771,0.0017228,0.0017228,0.0017228
9,2404.04,1.40205,1.17993,1.28957,0.89241,0.94802,0.95102,0.55642,1.41706,0.82927,1.38187,0.0016832,0.0016832,0.0016832
10,2670.51,1.36671,1.08685,1.26499,0.95623,0.93637,0.96571,0.60563,1.32171,0.88632,1.35268,0.0016436,0.0016436,0.0016436
11,2935.55,1.3155,1.06483,1.23217,0.96616,0.98571,0.97771,0.58196,1.4708,0.91046,1.4407,0.001604,0.001604,0.001604
12,3194.28,1.3271,1.05784,1.25227,0.94466,0.97556,0.97555,0.61031,1.21239,0.88213,1.30458,0.0015644,0.0015644,0.0015644
13,3450.99,1.32363,1.02552,1.22884,0.95967,0.97143,0.97435,0.62452,1.33,0.76973,1.31892,0.0015248,0.0015248,0.0015248
